"","Anthophora_terminalis","Stelis_verticalis","Anthidium_manicatum","Megachile_campanulae","Megachile_pugnata","Megachile_rotundata","Megachile_frigida","Megachile_brevis","Megachile_mendica","Megachile_centucularis","Megachile_inermis","Megachile_relativa","Megachile_sculpturalis","Coelioxys_alternata","Coelioxys_moesta","Coelioxys_sayi","Chelostoma_campanularum","Chelostoma_rapunculi","Heriades_crucifera","Heriades_variolosa","Hoplitis_producta","Hoplitis_spoliata","Hoplitis_truncata","Osmia_lignaria","Osmia_atriventis","Osmia_pumila","Osmia_caerulescens","Hylaeus_modestus","Hylaeus_affinis","Hylaeus_punctatus","Hylaeus_hyalinatus","Hylaeus_leptocephalus","Hylaeus_annulatus","Hylaeus_mesillae","Hylaeus_verticalis"
"AAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"AAB",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0
"AAC",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"AAE",0,0,0,10,17,40,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,12,0,0,7,58,10,20,0,0,0,0,0,0
"AAF",0,0,1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,33,0,34,0,0,0,26,4,0,0,0,0,0,0,0
"AAG",0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,18,0,0,0,0,15,0,0,45,0,0,0,0,0,0,0,0
"AAH",0,0,0,0,0,10,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"AAI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"AAJ",0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"AAK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,32,31,0,0,0,0,0,0,0,0
"AAL",0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"AAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
"AAN",0,0,0,2,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"AAO",0,0,0,0,0,27,0,0,0,0,0,11,0,0,0,0,0,0,16,0,0,0,0,0,4,15,140,0,0,0,0,0,5,0,0
"AAP",0,0,0,51,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37,0,21,0,0,0,0,0,0,0,0,0
"AAQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0
"AAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,143,0,0,0,111,10,0,0,0
"AAS",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,4,0,0,0,0,0,0,0
"AAT",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0
"AAU",0,0,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,14,0,0,0,0,0,0,0
"AAW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0
"AAX",0,1,0,0,0,0,0,0,0,30,0,0,0,0,0,2,0,0,1,0,0,0,0,0,10,20,124,0,0,0,0,0,0,0,0
"AAY",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAZ",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
"ABA",0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
"ABB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,19,25,22,0,0,0,0,0,0,0,0
"ABC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
"ABD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0
"ABE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
"ABF",0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0
"ABG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,25,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"ABH",0,0,0,14,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ABJ",0,0,0,15,0,1,0,0,0,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,64,12,0,0,0,0,0,12,0
"ABK",0,0,0,8,0,2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,63,0,0,0,0,0,0,0,0,0
"ABL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABN",0,0,0,17,0,15,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,6,0,0,60,35,9,0,0,0,0,0,0,0
"ABO",0,0,0,0,88,10,0,0,0,15,0,0,0,0,0,0,0,32,9,0,0,0,22,0,0,60,219,0,22,0,0,0,19,0,0
"ABP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0
"ABQ",0,0,0,1,0,4,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,10,20,0,0,0,0,0,0
"ABR",0,0,0,0,0,17,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"ABS",0,0,0,139,0,0,0,0,0,20,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,11,0,25,0,0,0,0,0,0,0
"ABT",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0
"ABU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,65,0,0,0,0,0,0,0,0,0
"ABV",0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABW",0,0,0,55,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,122,129,0,0,0,0,0,0,0,0
"ABX",0,0,0,32,0,4,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,8,0,4,0,0,22,6,0,0,0,0,0,0,0
"ABY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0
"ACA",0,0,0,17,0,6,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0
"ACB",0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0
"ACC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACD",0,0,0,0,0,0,17,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
"ACE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0
"ACF",0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,170,78,0,0,0,0,0,0,0,0
"ACG",0,0,0,8,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
"ACH",0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
"ACI",0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"ACJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,10,0
"ACM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACN",0,0,0,24,0,0,0,0,0,22,0,52,0,0,0,0,0,0,11,0,0,0,0,0,0,20,0,0,0,0,0,0,24,0,0
"ACO",0,0,0,5,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,40,50,0,0,0,0,0,0,0,0
"ACP",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
"ACQ",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14,0,0,0,0,0,0,0,0
"ACR",0,0,0,54,0,14,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0
"ACS",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACT",0,0,0,55,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,22,35,0,0,0,0,0,0,0,0
"ACU",0,0,0,23,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0
"ACV",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACW",0,0,0,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2,0,0,0,0,0,0,0
"ACX",0,0,0,9,0,8,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACY",0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,50,14,0,0,0,0,0,0,0
"ADA",0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
"ADB",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
"ADC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
"ADE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADG",0,0,0,0,0,19,0,0,12,0,0,0,0,0,0,0,0,0,44,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0
"ADH",0,0,0,0,0,0,0,0,0,64,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0
"ADI",0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
"ADJ",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
